Speaker,Raw_Answer,Cleaned_Answer
VENDOR,"Ya, akan berniaga air saja.",air
VENDOR,Part-time je.,parttime
VENDOR,Ada main TikTok.,tiktok
VENDOR,"Akak guna social media untuk suka-suka ada, untuk kedai pun ada juga.",social media kedai
VENDOR,"Haa, akak ada juga promote kedai melalui social media.",kedai social media
VENDOR,Promote dekat TikTok.,promote tiktok
VENDOR,Fareez Azhar.,fareez azhar
VENDOR,"Oh, macam tu.",
VENDOR,Kami baru berniaga di sini dua bulan.,bulan
VENDOR,"Tak, ini first time joint event ni.",first time event
VENDOR,"Sebelum ni kami berniaga dekat Dataran Penjaja, guna khemah je. Jadi dekat sini kami nak cuba event kecil-kecil dulu, lepas tu tengok macam mana perkembangan nanti.",dataran khemah event
VENDOR,"Ya, first event untuk bisnes kami.",first event bisnes
VENDOR,"Akak rasa tempat ni strategik sebab depan pasaraya, dekat dengan kedai makan dan ramai orang lalu-lalang.",tempat pasaraya kedai ramai orang
VENDOR,"Changlun ni dekat dengan Danok, jadi ada yang dah kenal minuman macam ni. Yang pernah pergi Hatyai atau floating market memang tahu dan akan cari air ni. Kat sini belum ramai lagi jual macam ni.",changlun danok minuman hatyai floating market air ramai
VENDOR,"Ya, betul! idea ni inspired daripada Danok dan floating market.",idea danok floating market
VENDOR,"Ada juga benefit join event ni. Owner event ni pun ada ambil gambar, buat live dan promote vendor. Jadi orang lebih kenal bisnes kami.",benefit event owner event gambar live promote vendor orang bisnes
VENDOR,"Alhamdulillah, sambutan okey cuma pagi tadi agak slow sikit.",sikit
VENDOR,Kami buka dari pukul 10 pagi.,pagi
VENDOR,Sambil berniaga ada buat live TikTok juga.,live tiktok
VENDOR,"Ya, akak rasa live TikTok boleh attract customer sebab kami baru lagi dalam bidang ni. Jadi kami cuba guna TikTok supaya lebih ramai orang tahu. Tambahan pula dekat Changlun belum ada orang jual macam ni.",live tiktok customer bidang tiktok orang changlun orang
VENDOR,"Tak ada rasa conflict dengan vendor lain sebab vendor lain jual benda lain, bukan produk yang sama.",conflict vendor vendor benda produk
VENDOR,"Cabaran terbesar dalam promote bisnes ni adalah golongan berumur 40 tahun ke atas kurang kenal minuman macam ni. Mereka selalu tanya ini minuman apa, soya ke apa. Jadi agak susah nak terangkan dekat golongan yang lebih berusia sebab mereka kurang terdedah dengan minuman viral macam ni.",cabaran promote bisnes golongan tahun atas minuman minuman soya golongan minuman
VENDOR,Setakat ni tak ada lagi khabar angin pasal kedai akak.,angin kedai
VENDOR,"Tak ada. Paling-paling pun ada orang cakap air terlalu manis, tapi tak ada yang sebarkan perkara negatif.",orang air perkara
